Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 06/06/2024 00:00:00 EDT Call $529.00,SPY240606C00529000,Buy,Filled,2,2,@1.09,1.09,DAY,06/04/2024 13:13:37 EDT,06/04/2024 13:13:37 EDT
SPY 06/04/2024 00:00:00 EDT Put $526.00,SPY240604P00526000,Sell,Filled,1,1,0.920,0.920,DAY,06/04/2024 13:06:21 EDT,06/04/2024 13:06:21 EDT
SPY 06/04/2024 00:00:00 EDT Put $526.00,SPY240604P00526000,Buy,Filled,1,1,@0.810,0.810,DAY,06/04/2024 13:03:52 EDT,06/04/2024 13:03:52 EDT
SPY 06/04/2024 00:00:00 EDT Put $526.00,SPY240604P00526000,Sell,Filled,1,1,1.27,1.27,DAY,06/04/2024 10:13:58 EDT,06/04/2024 10:13:58 EDT
SPY 06/04/2024 00:00:00 EDT Put $526.00,SPY240604P00526000,Buy,Filled,1,1,@1.24,1.24,DAY,06/04/2024 09:34:08 EDT,06/04/2024 09:34:21 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Sell,Filled,1,1,0.440,0.440,DAY,06/03/2024 15:59:37 EDT,06/03/2024 15:59:37 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Sell,Filled,1,1,@0.380,0.380,DAY,06/03/2024 15:58:28 EDT,06/03/2024 15:58:30 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Buy,Filled,1,1,@0.630,0.630,DAY,06/03/2024 10:47:02 EDT,06/03/2024 10:47:02 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Buy,Filled,1,1,@1.14,1.14,DAY,06/03/2024 10:00:23 EDT,06/03/2024 10:00:33 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Sell,Filled,1,1,1.50,1.50,DAY,06/03/2024 09:47:05 EDT,06/03/2024 09:47:06 EDT
QQQ 06/04/2024 00:00:00 EDT Call $456.00,QQQ240604C00456000,Buy,Filled,1,1,@1.25,1.25,DAY,06/03/2024 09:34:57 EDT,06/03/2024 09:34:57 EDT